,id,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
31089,31089,5.0855,17.0,6.190804597701149,1.1057471264367815,1538.0,3.373563218390805,38.02,-121.36,1.035
28863,28863,3.3636,5.0,4.23989898989899,1.02020202020202,3278.0,2.066006600660066,33.68,-117.53,1.969
20379,20379,5.0417,29.0,6.602316602316602,1.0235294117647058,1119.0,2.7054794520547945,33.84,-117.95,2.638
3942,3942,4.1364,22.0,5.448584204778156,0.986717267552182,1750.0,3.0204778156996586,38.47,-121.77,1.188
26360,26360,1.6031,39.0,4.742203742203742,1.075091575091575,1168.0,3.25,36.75,-119.8,0.669
13295,13295,3.0278,25.0,3.61417004048583,1.0777142857142856,842.0,1.3923240938166312,36.63,-121.91,2.256
14971,14971,1.9875,25.0,4.285714285714286,1.0907738095238095,569.0,1.661904761904762,38.57,-121.46,1.094
27775,27775,5.0965,9.0,6.184426229508197,1.0044247787610618,2140.0,3.70757180156658,37.72,-121.44,1.654
14206,14206,2.375,7.0,4.906194690265487,1.1737835153922542,1391.0,1.7418032786885247,32.85,-117.22,1.777
465,465,2.7979,40.0,3.881873727087577,1.1769352290679305,784.0,2.1141739130434782,37.74,-122.45,3.75
16266,16266,3.9571,29.0,5.445026178010472,1.0077399380804954,1799.0,2.589627959413754,37.96,-122.07,1.639
13416,13416,3.375,13.0,4.965882352941176,1.0601694915254238,1304.0,1.9285714285714288,33.71,-117.91,2.321
25503,25503,1.3889,52.0,4.289655172413793,1.1517241379310346,1272.0,2.922758620689655,37.79,-122.41,0.893
18937,18937,4.5588,32.0,4.619047619047619,1.0588235294117647,2585.0,2.2861035422343323,37.56,-122.32,4.627
31265,31265,2.6994,30.0,4.111111111111111,1.091644204851752,2017.0,3.738532110091743,37.96,-121.32,0.853
28585,28585,4.2026,35.0,5.079365079365079,0.9523809523809524,608.0,2.412698412698413,37.64,-122.08,1.341
12657,12657,6.6579,30.0,6.855824682814302,1.03694730466384,26012.0,2.48303430075188,37.76,-122.47,3.685
7573,7573,5.2881,11.0,6.407602956705386,1.0578778135048232,2166.0,2.952254641909814,38.7,-120.95,1.883
16869,16869,2.1522,26.0,2.900293255131965,1.066340782122905,2283.0,2.300293255131965,34.06,-118.12,1.875
853,853,5.0731,9.0,5.252702702702703,1.032934131736527,6716.0,3.3945945945945946,34.0,-117.5,1.969
1791,1791,3.2689,22.0,4.771812080536913,1.0648801128349787,2278.0,3.208904109589041,34.43,-118.43,2.222
12307,12307,2.1442,39.0,3.6594594594594594,1.054054054054054,1283.0,3.227027027027027,34.13,-118.27,1.821
26944,26944,3.6743,4.0,4.584686774941996,1.1353711790393013,2083.0,2.987673343605547,33.19,-117.3,1.115
28106,28106,1.0467,44.0,4.933333333333334,1.1333333333333333,982.0,2.8266666666666667,35.37,-119.02,0.492
70,70,4.1172,11.0,6.484755244755245,1.051282051282051,3565.0,3.867521367521368,32.86,-116.76,1.674
19528,19528,1.7875,34.0,2.660436137071651,1.122093023255814,804.0,3.48062015503876,34.02,-118.28,1.875
18012,18012,3.9615,21.0,5.503685503685504,1.0448717948717947,2452.0,3.079696394686907,32.82,-117.19,1.931
22728,22728,3.8194,17.0,8.197771587743732,1.1568998109640831,548.0,2.761780104712042,38.7,-121.25,1.33
34081,34081,3.7838,33.0,4.611494252873563,1.0070921985815602,2103.0,3.077586206896552,34.11,-118.08,2.436
24496,24496,2.4345,14.0,5.281889763779527,1.183377308707124,1357.0,2.263922518159806,39.73,-121.87,1.054
1900,1900,6.7721,14.0,6.745067497403946,1.0100200400801602,1294.0,2.6012024048096194,37.26,-121.89,2.42
9836,9836,1.9845,42.0,4.041284403669724,1.0409252669039173,1447.0,2.596085409252669,35.42,-119.05,2.256
17020,17020,1.8829,43.0,4.647577092511013,1.0651890482398958,1422.0,3.075327868852459,37.36,-121.85,1.035
18505,18505,3.125,21.0,4.833333333333333,1.0777777777777775,669.0,3.955555555555556,32.75,-117.09,1.048
20094,20094,4.875,15.0,4.267015706806283,1.0330275229357797,975.0,1.930817610062893,32.77,-117.16,3.417
31563,31563,3.7813,29.0,4.951859956236324,1.0844155844155845,1051.0,1.9655887230514093,34.16,-118.42,3.286
22932,22932,3.7816,6.0,6.270786516853933,1.114730878186969,785.0,2.7655502392344498,34.54,-117.92,1.946
7545,7545,5.234,44.0,6.534883720930233,1.1337209302325582,542.0,4.133720930232558,34.13,-118.21,1.5
29761,29761,2.244,14.0,6.200585651537335,1.0825082508250825,1247.0,3.32008830022075,39.16,-121.62,0.952
23875,23875,5.5351,27.0,6.181495327102804,0.9813432835820896,1403.0,2.741144414168937,37.71,-122.49,3.691
5814,5814,4.6719,14.0,4.364085667215815,1.0650088809946796,1639.0,1.946162657502868,34.15,-118.41,2.353
19649,19649,2.4668,14.0,4.539087947882736,1.0124688279301746,1580.0,1.89501312335958,38.45,-122.67,1.535
36702,36702,5.6336,4.0,5.997821350762528,1.0992018244013684,1615.0,2.472266244057052,37.31,-121.83,2.125
35549,35549,2.0885,28.0,3.9271781534460337,1.024653312788906,1849.0,3.607130769230769,34.0,-118.29,1.131
16026,16026,3.725,24.0,4.791452991452991,1.082051282051282,1627.0,2.781196581196581,34.16,-118.38,3.077
32731,32731,2.5662,34.0,4.808344198174707,1.067435158501442,1755.0,2.529958174904943,35.37,-118.93,0.579
