iter	RMSE
0	1.08957596
1	1.038254724
2	0.9992223603
3	0.9588328385
4	0.9236033909
5	0.8920987976
6	0.8667274273
7	0.8396446735
8	0.8180183662
9	0.7952406371
10	0.7759301764
11	0.7586427354
12	0.7410827052
13	0.7286950991
14	0.7157635915
15	0.7048135305
16	0.6960897448
17	0.6874243431
18	0.6844719087
19	0.6767981795
20	0.6669424356
21	0.6567590193
22	0.6506229025
23	0.6441090769
24	0.6392674957
25	0.6322788984
26	0.6267192145
27	0.6222149601
28	0.6186507876
29	0.6137912456
30	0.6093874396
31	0.6064921046
32	0.6001756762
33	0.5961824265
34	0.5921971749
35	0.5893990308
36	0.5876208711
37	0.5851861656
38	0.5818811639
39	0.5789067273
40	0.5762190481
41	0.5734668665
42	0.5687300541
43	0.5672273177
44	0.565519352
45	0.5636280902
46	0.5606810707
47	0.5582724547
48	0.5558513955
49	0.5543173404
50	0.5519024935
51	0.5502662346
52	0.5478875936
53	0.5444757462
54	0.5425101271
55	0.5394087213
56	0.5383980578
57	0.536897899
58	0.5346961018
59	0.5313584607
60	0.528989048
61	0.526944503
62	0.5247770585
63	0.5222984687
64	0.5212056995
65	0.5195810455
66	0.5169470429
67	0.5158699735
68	0.5142921312
69	0.5123369485
70	0.5105641261
71	0.5092116356
72	0.5078697138
73	0.5067347965
74	0.5058646638
75	0.5049710684
76	0.5033840363
77	0.5023153928
78	0.5004403176
79	0.4987691934
80	0.4967304233
81	0.4942267727
82	0.4933279353
83	0.4913357185
84	0.4894971024
85	0.4874630049
86	0.4854356245
87	0.4835868158
88	0.4818846563
89	0.4811825263
90	0.4798607115
91	0.477589868
92	0.4764748011
93	0.4731452488
94	0.4726423409
95	0.4703542652
96	0.470184342
97	0.4681104708
98	0.466463705
99	0.464339805
