iter	Passed	Remaining
0	1	132
1	2	114
2	3	108
3	4	104
4	5	100
5	6	100
6	7	98
7	8	96
8	9	94
9	10	93
10	11	92
11	12	90
12	13	89
13	14	88
14	15	87
15	16	86
16	17	85
17	18	84
18	18	80
19	20	80
20	21	79
21	22	78
22	23	77
23	24	76
24	25	75
25	26	75
26	27	74
27	28	73
28	29	72
29	30	71
30	31	70
31	32	69
32	33	68
33	34	67
34	35	66
35	36	65
36	38	64
37	39	63
38	40	62
39	41	62
40	42	61
41	43	60
42	44	59
43	45	58
44	47	57
45	48	56
46	49	55
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	47
55	59	46
56	60	45
57	61	44
58	62	43
59	63	42
60	64	41
61	65	40
62	66	39
63	67	38
64	68	37
65	69	36
66	71	34
67	72	33
68	73	32
69	74	31
70	75	30
71	76	29
72	77	28
73	78	27
74	79	26
75	80	25
76	81	24
77	82	23
78	83	22
79	84	21
80	85	20
81	86	18
82	87	17
83	88	16
84	89	15
85	90	14
86	91	13
87	92	12
88	93	11
89	94	10
90	95	9
91	96	8
92	97	7
93	98	6
94	99	5
95	100	4
96	101	3
97	102	2
98	102	1
99	103	0
